apt_name,apt_address,apt_coordinates,apt_score,university_name,university_coordinates,university_score,supermarket_name,supermarket_coordinates,supermarket_score,gas_station_name,gas_station_coordinates,gas_station_score,gym_name,gym_coordinates,gym_score,subway_station_name,subway_station_coordinates,subway_station_score,bus_station_name,bus_station_coordinates,bus_station_score,drugstore_name,drugstore_coordinates,drugstore_score,pharmacy_name,pharmacy_coordinates,pharmacy_score,convenience_store_name,convenience_store_coordinates,convenience_store_score,restaurant_name,restaurant_coordinates,restaurant_score,police_name,police_coordinates,police_score,park_name,park_coordinates,park_score,cafe_name,cafe_coordinates,cafe_score,bank_name,bank_coordinates,bank_score
400 Winchester,400 Winchester Trl SE Atlanta GA 30339,"(33.84680400000001, -84.483865)",0.0,Salem Halifax Capital Partners,"(33.8612168, -84.48334659999999)",0.0,Publix Super Market at Paces Ferry Center,"(33.8629596, -84.4783794)",0.0,Shell,"(33.8409351, -84.4847722)",0.0,World Gym Smyrna-Vinings,"(33.846717, -84.50237299999999)",0.0,None,None,nan,None,None,nan,Vinings Pharmacy,"(33.8425727, -84.49830709999999)",0.0,Kroger Pharmacy,"(33.838854, -84.4817746)",0.0,Shell,"(33.8409351, -84.4847722)",0.0,Muss & Turner's,"(33.8494205, -84.49184029999999)",0.0,Cobb County Police Precinct 3,"(33.849113, -84.4841357)",0.0,Shoupade Park,"(33.83659129999999, -84.4921432)",0.0,Starbucks,"(33.844229, -84.48984100000001)",0.0,SunTrust,"(33.843199, -84.50299)",0.0
Southwood Vista,4005 Campbellton Rd Atlanta GA 30331,"(33.6957732, -84.5188965)",0.0035560615779082223,None,None,nan,Family Dollar,"(33.6957923, -84.5346285)",0.011891921622863458,Occidental Oil LLC,"(33.6898125, -84.5057915)",0.01964515811254529,William Walker Rec Center,"(33.6886684, -84.51301079999999)",0.020666023916357322,None,None,nan,None,None,nan,Dollar General,"(33.6970546, -84.5344224)",0.011891921622863458,"Ben Hill Pharmacy, Inc","(33.6901508, -84.5107094)",0.02321785909783599,Dollar General,"(33.6970546, -84.5344224)",0.011891921622863458,Scotch Bonnett Jamaican Restaurant,"(33.6959392, -84.5338034)",0.011891921622863458,None,None,nan,Ben Hill Recreation Center,"(33.68866000000001, -84.513002)",0.020666023916357322,Stem's Cafe,"(33.69101790000001, -84.5125301)",0.015051986517104248,None,None,nan
MAA Chastain,4090 Roswell Rd NE Atlanta GA 30342,"(33.8668631, -84.3818635)",0.011952722510175616,Dental Careers Institute,"(33.8732834, -84.3814889)",0.0025344556057663634,The Fresh Market,"(33.874787, -84.38084599999999)",0.0029568648733940906,Shell,"(33.8562767, -84.3828766)",0.006231939730995557,BLAST,"(33.8808193, -84.3802418)",0.002745660239580227,None,None,nan,None,None,nan,Walgreens,"(33.85516, -84.38311639999999)",0.00833870464539748,"Alina Kuo, PharmD","(33.8517878, -84.375571)",0.011856993012883024,Walgreens,"(33.85516, -84.38311639999999)",0.00833870464539748,"Hal's ""The Steakhouse""","(33.854687, -84.38168)",0.011112392234937984,None,None,nan,Blue Heron Community Garden,"(33.86780499999999, -84.380602)",0.0019008417043247727,Panera Bread,"(33.8567506, -84.38264170000001)",0.0056147783479887576,Patriot Capital,"(33.8522449, -84.3786001)",0.011856993012883024
Elite at City Park,415 Fairburn Rd Atlanta GA 30331,"(33.7428775, -84.5107175)",0.010548524289723122,Brown's Barber College,"(33.7495781, -84.50734039999999)",0.014560705488901865,Family Dollar,"(33.7573309, -84.50291469999999)",0.029115659061829134,Texaco,"(33.7540229, -84.49750209999999)",0.031962989835057964,Atlanta Boom Volleyball,"(33.7295003, -84.5039415)",0.06395011018519714,None,None,nan,None,None,nan,Walmart Pharmacy,"(33.728179, -84.50796299999999)",0.024449325130589342,Walmart Pharmacy,"(33.728179, -84.50796299999999)",0.024449325130589342,Texaco,"(33.7540229, -84.49750209999999)",0.031962989835057964,Atlanta's Best Wings,"(33.741205, -84.51002369999999)",0.002609494273114216,None,None,nan,The Doctor's Memorial Park,"(33.740483, -84.5101294)",0.002236709376955042,McDonald's,"(33.7577336, -84.50343289999999)",0.03688039233749638,None,None,nan
Marquis Midtown District,415 NE Armour Dr Atlanta GA 30324,"(33.8124237, -84.3736267)",0.0619389499009119,The Creative Circus,"(33.81304599999999, -84.36177599999999)",0.28330164952435033,The Fresh Market,"(33.811965, -84.391409)",0.1399635075723611,QuikTrip,"(33.82519639999999, -84.3622243)",0.22267695942927582,LA Fitness,"(33.7982647, -84.3708131)",0.06998150562029579,Lindbergh Center Transit Station,"(33.8231777, -84.3693878)",0.25071221186477083,Lindbergh Station - South Loop/Lindbergh Dr,"(33.82136550000001, -84.3690386)",0.25792768403190003,CVS,"(33.7984196, -84.3709623)",0.06998150562029579,CVS Pharmacy,"(33.8240175, -84.3634115)",0.2423200750024556,QuikTrip,"(33.82519639999999, -84.3622243)",0.22267695942927582,SweetWater Brewing Company,"(33.8087194, -84.3801857)",0.028550760083079444,Marta Police Department,"(33.8199444, -84.3680925)",0.29328529206362364,Peachtree Hills Community Garden,"(33.8182195, -84.3769987)",0.1674450454450213,Starbucks,"(33.818839, -84.388322)",0.15292262806665052,PNC Bank,"(33.7999959, -84.3716209)",0.06561166295763494
Parkside Crossing,4233 Jonesboro Rd Forest Park GA 30297,"(33.6389052, -84.36293769999999)",0.058400862076466886,Beulah Heights University,"(33.6547486, -84.35517019999999)",0.021467958571910813,Family Dollar,"(33.6454868, -84.3636521)",0.017722273431310484,Mobil,"(33.6395682, -84.3616426)",0.009287490285912801,XrossOver Sports Atlanta,"(33.6369116, -84.37192639999999)",0.013415263746318495,None,None,nan,None,None,nan,Dollar General,"(33.633916, -84.35902870000001)",0.011690576388936134,None,None,nan,Texaco,"(33.6401983, -84.3612213)",0.009287490285912801,Subway,"(33.6316896, -84.3574636)",0.011690576388936134,None,None,nan,Theater Drive Park,"(33.63506909999999, -84.3568303)",0.012877774193807832,McDonald's,"(33.6478857, -84.36580219999999)",0.018950423301269444,None,None,nan
Maple Lake,4241 Hendrix Dr Forest Park GA 30297,"(33.6387829, -84.373876)",0.0,None,None,nan,Family Dollar,"(33.6454868, -84.3636521)",0.020818103526614753,Mobil,"(33.6395682, -84.3616426)",0.015479150476521342,XrossOver Sports Atlanta,"(33.6369116, -84.37192639999999)",0.0,None,None,nan,Old Dixie Rd & Conley Rd,"(33.641126, -84.38785999999999)",0.0009590160037863468,Dollar General,"(33.633916, -84.35902870000001)",0.01581834984934183,Kayton Pharmacy,"(33.6213301, -84.3714478)",0.0,Texaco,"(33.6401983, -84.3612213)",0.016511093841622766,Subway,"(33.63091960000001, -84.386094)",0.0,Atlanta Police Training Academy,"(33.6525354, -84.3832144)",0.007278629733400878,Scott Boulevard Park,"(33.632446, -84.3722167)",0.0,McDonald's,"(33.6478857, -84.36580219999999)",0.022046253396573713,None,None,nan
The Savoy Luxury Apartments,4306 N Shallowford Rd Atlanta GA 30341,"(33.9195314, -84.3053741)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,None,None,nan,bp,"(33.92204379999999, -84.31389999999999)",0.0,Evolve Fitness 360,"(33.9188257, -84.30534569999999)",0.0,None,None,nan,None,None,nan,CVS,"(33.9058056, -84.2952167)",0.0,Dunwoody Pharmacy,"(33.929154, -84.31315269999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,Bowlmor Atlanta,"(33.9190815, -84.2991584)",0.0,None,None,nan,Murphey Candler Park,"(33.9126348, -84.324378)",0.0,Sterling Spoon Culinary Management,"(33.921066, -84.31722119999999)",0.0,Bank of America Financial Center,"(33.924588, -84.3142228)",0.0
Jasmine at Winters Chapel,4335 Winters Chapel Rd Atlanta GA 30360,"(33.9223539, -84.2690988)",0.0,The Tech-Edge Group LLC,"(33.9310814, -84.2694298)",0.0,Manila Mart,"(33.9128991, -84.2641778)",0.0,Colonial Pipeline Co,"(33.918293, -84.2736844)",0.0,CrossFit WayMaker,"(33.93562229999999, -84.25623569999999)",0.0,None,None,nan,Kenny S. K. Lee,"(33.9064443, -84.2678705)",0.0,Dollar General,"(33.9175439, -84.2577992)",0.0,Guate Direct,"(33.92927710000001, -84.2589101)",0.0,Manila Mart,"(33.9128991, -84.2641778)",0.0,Oasis Goodtime Emporium,"(33.9214812, -84.28156969999999)",0.0,None,None,nan,Honeysuckle Park,"(33.9067074, -84.2614011)",0.0,White Windmill Bakery and Cafe,"(33.9108109, -84.2644933)",0.0,Wells Fargo Bank,"(33.9085495, -84.2679557)",0.0
The Greens at Cascade Apartment Homes,4355 Cascade Rd Atlanta GA 30331,"(33.734407, -84.531686)",0.0,Carver Bible College,"(33.72282539999999, -84.5156485)",0.011698650885240339,None,None,nan,None,None,nan,None,None,nan,None,None,nan,None,None,nan,None,None,nan,None,None,nan,None,None,nan,Hard Rock Cafe,"(33.7187273, -84.5245922)",0.011698650885240339,None,None,nan,Utoy Boulder Park,"(33.7424898, -84.54001389999999)",0.0,None,None,nan,None,None,nan
